# ═══════════════════════════════════════════════════════════════════
# 🜲  ADVANCED PROXY LIST — ℒℯℴ ♔
# 📡 Telegram: t.me/THENETWORKSZONE
# 📢 Channel: @Alltimeproxy
# 🕐 Generated: 2026-09-09 18:10:15
# 📊 Total: 3971 | HTTP: 601 | SOCKS4: 2443 | SOCKS5: 927
# ⚡ Speed-tested & dead-removed
# ═══════════════════════════════════════════════════════════════════
#
3.127.27.51:33841 | HTTP | 18ms
3.10.170.234:3128 | HTTP | 19ms
16.62.111.95:10002 | HTTP | 27ms
16.62.111.95:25359 | HTTP | 29ms
109.199.119.160:80 | HTTP | 30ms
108.131.109.106:10203 | HTTP | 42ms
3.252.122.151:59295 | HTTP | 43ms
3.252.122.151:21193 | HTTP | 43ms
108.131.109.106:5192 | HTTP | 44ms
13.51.44.23:13483 | HTTP | 61ms
178.212.144.7:80 | HTTP | 67ms
141.98.153.86:80 | HTTP | 118ms
202.166.219.80:4153 | SOCKS4 | 118ms
87.121.77.67:4145 | SOCKS4 | 118ms
174.64.199.82:4145 | SOCKS4 | 119ms
103.160.56.250:10101 | SOCKS4 | 119ms
103.88.204.70:1080 | SOCKS4 | 119ms
129.205.246.105:5678 | SOCKS4 | 119ms
193.233.254.9:1080 | SOCKS4 | 119ms
36.95.235.18:3629 | SOCKS4 | 119ms
138.201.139.252:12344 | SOCKS5 | 119ms
216.105.130.131:4145 | SOCKS4 | 119ms
27.123.3.141:4145 | SOCKS4 | 119ms
167.235.155.77:47287 | SOCKS5 | 119ms
202.70.80.153:5678 | SOCKS4 | 119ms
202.74.203.17:1081 | SOCKS5 | 119ms
212.46.242.185:1081 | SOCKS4 | 119ms
80.191.40.133:5678 | SOCKS4 | 119ms
98.170.57.231:4145 | SOCKS4 | 119ms
103.144.94.54:3629 | SOCKS4 | 119ms
79.111.118.99:1081 | SOCKS5 | 119ms
190.228.33.42:1085 | SOCKS4 | 119ms
45.162.44.10:51776 | SOCKS4 | 119ms
114.242.116.50:4145 | SOCKS4 | 119ms
72.221.164.34:60671 | SOCKS4 | 119ms
103.174.150.190:1080 | SOCKS4 | 119ms
170.246.85.9:37163 | SOCKS4 | 119ms
169.239.236.201:10801 | SOCKS4 | 119ms
110.235.247.206:1080 | SOCKS5 | 119ms
197.234.14.61:4145 | SOCKS4 | 119ms
14.97.245.22:5678 | SOCKS4 | 119ms
